Q R dR
0.008 1.0 0.0
0.00900001 1.0 0.0
0.01 1.0 0.0
0.011 1.0 0.0
0.012 1.0 0.0
0.013 1.0 0.0
0.014 0.943379 0.0
0.015 0.248655 0.0
0.016 0.0747894 0.0
0.017 0.0490239 0.0
0.018 0.0446659 0.0
0.019 0.0434473 0.0
0.02 0.0422157 0.0
0.021 0.0403298 0.0
0.0219999 0.0377785 0.0
0.023 0.0347187 0.0
0.0240001 0.0313382 0.0
0.025 0.027824 0.0
0.0273999 0.0196146 0.0
0.0298 0.0127017 0.0
0.0321999 0.00763132 0.0
0.0346 0.00440085 0.0
0.037 0.00268342 0.0
0.0394 0.00201997 0.0
0.0418 0.00195799 0.0
0.0441999 0.00213272 0.0
0.0466001 0.00229991 0.0
0.0489999 0.00233355 0.0
0.0513999 0.00220282 0.0
0.0537999 0.00193985 0.0
0.0562001 0.00160713 0.0
0.0586 0.00127079 0.0
0.061 0.000982097 0.0
0.0634 0.000768976 0.0
0.0657999 0.000635442 0.0
0.0682 0.00056718 0.0
0.0706001 0.00054009 0.0
0.073 0.000528912 0.0
0.0753999 0.000513884 0.0
0.0778 0.000484214 0.0
0.0801999 0.000438305 0.0
0.0826001 0.00038144 0.0
0.0849999 0.000322212 0.0
0.0874001 0.000268877 0.0
0.0898 0.000226825 0.0
0.0922 0.000197446 0.0
0.0946 0.00017858 0.0
0.097 0.00016593 0.0
0.0994 0.000154862 0.0
0.1018 0.000141921 0.0
0.1042 0.000125654 0.0
0.1066 0.00010664 0.0
0.109 8.68587e-05 0.0
0.1114 6.87313e-05 0.0
0.1138 5.42287e-05 0.0
0.1162 4.42637e-05 0.0
0.1186 3.85544e-05 0.0
0.121 3.58767e-05 0.0
0.1234 3.45686e-05 0.0
0.1258 3.30839e-05 0.0
0.1282 3.04114e-05 0.0
0.1306 2.62613e-05 0.0
0.133 2.10017e-05 0.0
0.1354 1.54138e-05 0.0
0.1378 1.03669e-05 0.0
0.1402 6.53147e-06 0.0
0.1426 4.2014e-06 0.0
0.145 3.26484e-06 0.0
0.1474 3.30132e-06 0.0
0.1498 3.75543e-06 0.0
0.1522 4.1207e-06 0.0
0.1546 4.07566e-06 0.0
0.157 3.54096e-06 0.0
0.1594 2.64846e-06 0.0
0.1618 1.65241e-06 0.0
0.1642 8.17218e-07 0.0
0.1666 3.22372e-07 0.0
0.169 2.12267e-07 0.0
0.1714 4.00874e-07 0.0
0.1738 7.2057e-07 0.0
0.1762 9.92399e-07 0.0
0.1786 1.09079e-06 0.0
0.181 9.8096e-07 0.0
0.1834 7.19914e-07 0.0
0.1858 4.24983e-07 0.0
0.1882 2.24423e-07 0.0
0.1906 2.09251e-07 0.0
0.193 4.02344e-07 0.0
0.1954 7.53534e-07 0.0
0.1978 1.15995e-06 0.0
0.2002 1.50225e-06 0.0
0.2026 1.68358e-06 0.0
0.205 1.65876e-06 0.0
0.2074 1.44608e-06 0.0
0.2098 1.11692e-06 0.0
0.2122 7.72306e-07 0.0
0.2146 5.11233e-07 0.0
0.217 4.02535e-07 0.0
0.2194 4.67174e-07 0.0
0.221799 6.75565e-07 0.0
0.2242 9.59876e-07 0.0
0.226601 1.23463e-06 0.0
0.228999 1.42201e-06 0.0
0.231399 1.473e-06 0.0
0.233799 1.37765e-06 0.0
0.236199 1.16545e-06 0.0
0.238601 8.93834e-07 0.0
0.241 6.31535e-07 0.0
0.243399 4.36629e-07 0.0
0.2458 3.34916e-07 0.0
0.248199 3.07244e-07 0.0
0.2506 3.14459e-07 0.0
